Designator,Mid X,Mid Y,Rotation,Layer
C1,95.2,-78.6,90.0,bottom
C10,102.4,-75.0,270.0,bottom
C11,112.2,-66.7,180.0,bottom
C12,112.2,-72.45,180.0,bottom
C13,84.425,-43.825,270.0,bottom
C14,142.85,-40.6,270.0,top
C15,142.65,-49.4,90.0,top
C16,140.35,-49.4,90.0,top
C17,146.625,-47.175,180.0,top
C18,150.5,-44.35,270.0,top
C19,75.6,-64.65,0.0,bottom
C2,89.5,-78.55,90.0,bottom
C20,82.225,-43.825,270.0,bottom
C21,141.05,-40.622222,270.0,top
C22,73.95,-40.1,180.0,top
C3,85.55,-78.575,90.0,bottom
C33,75.4,-76.5,0.0,bottom
C35,146.525,-52.825,180.0,top
C4,79.85,-78.575,90.0,bottom
C5,80.7,-54.95,90.0,bottom
C6,95.75,-55.2,270.0,bottom
C7,123.9,-34.05,90.0,top
C8,152.0,-44.35,270.0,top
C9,73.95,-42.2,180.0,top
D1,119.465,-43.625,0.0,bottom
D12,120.75,-91.85,90.0,top
D13,123.3,-91.85,90.0,top
D14,125.9,-91.9,90.0,top
D2,101.81,-44.8,0.0,bottom
D4,136.65,-56.25,180.0,top
J1,128.9,-73.04,0.0,top
J10,65.35,-55.15,90.0,top
J11,133.85,-36.0,180.0,top
J12,93.977778,-36.0,180.0,top
J13,75.955556,-36.0,180.0,top
J14,158.0,-80.7,270.0,top
J15,70.8,-90.55,180.0,top
J16,115.85,-90.8,180.0,top
J17,158.0,-64.3,270.0,top
J2,113.9,-32.37,90.0,top
J3,151.872222,-36.0,180.0,top
J4,150.075,-90.3,180.0,top
J5,133.5,-90.45,180.0,top
J6,65.4,-63.9,90.0,top
J7,142.8,-90.26,180.0,top
J8,158.0,-48.0,270.0,top
J9,93.08,-90.85,270.0,top
MODULE1,121.0,-82.825,90.0,top
R1,116.2,-78.5,90.0,bottom
R10,122.75,-41.05,180.0,bottom
R11,122.75,-38.45,180.0,bottom
R12,144.025,-70.55,0.0,bottom
R13,120.7,-90.35,270.0,bottom
R14,69.1,-45.2,180.0,bottom
R15,123.3,-90.3625,270.0,bottom
R16,125.9,-90.35,270.0,bottom
R17,106.4,-77.25,90.0,bottom
R18,147.7125,-70.55,0.0,bottom
R2,113.25,-78.5,90.0,bottom
R26,66.005,-70.4775,180.0,bottom
R3,104.5,-77.2,90.0,bottom
R4,97.5,-78.65,90.0,bottom
R5,87.4,-78.6,90.0,bottom
R6,77.935,-68.811,90.0,bottom
R7,77.925238,-56.739,270.0,bottom
R8,122.775,-43.375,180.0,bottom
R9,135.95,-58.45,180.0,top
SW1,65.8,-42.75,270.0,top
SW2,127.35,-53.45,180.0,top
SW3,66.0,-75.4,90.0,top
U1,93.65,-72.5,180.0,bottom
U14,88.15,-60.15,0.0,bottom
U15,74.235,-71.011,90.0,bottom
U17,66.055,-82.5775,90.0,bottom
U2,84.65,-72.5,180.0,bottom
U3,106.6125,-71.425,90.0,bottom
U4,132.415,-48.6,180.0,top
U5,144.215,-80.825,0.0,bottom
U7,74.175238,-58.939,90.0,bottom
U8,70.9,-41.4,90.0,bottom
Y1,92.225,-78.6,180.0,bottom
Y2,82.7,-78.6,180.0,bottom
Y3,146.6,-49.9,270.0,top
Y4,111.85,-69.475,180.0,bottom
